FECHA,TOTAL SAT
2020-01-01,568.4
2020-01-01,226.2
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,5071.2
2020-01-01,185.0
2020-01-01,556.8
2020-01-01,2900.0
2020-01-01,102.59
2020-01-01,6199.92
2020-01-01,5976.52
2020-01-01,1771.95
2020-01-01,538.0
2020-01-01,660.4
2020-01-01,798.99
2020-01-01,899.0
2020-01-01,798.99
2020-01-01,798.99
2020-01-01,2871.0
2020-01-01,296.96
2020-01-01,327.12
2020-01-01,580.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,4872.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,105.0
2020-01-01,406.0
2020-01-01,206.22
2020-01-01,59.97
2020-01-01,4071.6
2020-01-01,696.0
2020-01-01,599.26
2020-01-01,173.1
2020-01-01,236.57
2020-01-01,1624.0
2020-01-01,3509.87
2020-01-01,417.6
2020-01-01,1321.38
2020-01-01,1300.39
2020-01-01,2320.0
2020-01-01,1956.92
2020-01-01,0.0
2020-01-01,234.55
2020-01-01,99.0
2020-01-01,112.33
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,4972.58
2020-01-01,2379.11
2020-01-01,2176.16
2020-01-01,2176.16
2020-01-01,1044.0
2020-01-01,0.0
2020-01-01,105.0
2020-01-01,407.16
2020-01-01,972.02
2020-01-01,363.38
2020-01-01,3219.0
2020-01-01,991.8
2020-01-01,378.45
2020-01-01,2267.8
2020-01-01,833.13
2020-01-01,1069.5
2020-01-01,0.0
2020-01-01,991.8
2020-01-01,0.0
2020-01-01,2927.84
2020-01-01,99.5
2020-01-01,0.0
2020-01-01,3224.22
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,123.02
2020-01-01,4176.0
2020-01-01,4640.0
2020-01-01,1218.0
2020-01-01,178.18
2020-01-01,0.0
2020-01-01,107.31
2020-01-01,351.48
2020-01-01,979.75
2020-01-01,358.0
2020-01-01,3789.05
2020-01-01,-669.0
2020-01-01,3446.33
2020-01-01,236.5
2020-01-01,97.26
2020-01-01,522.0
